name,type,ProductServices
Adkins PLC,Company,Unknown
"Adkins, Duncan and Thompson",Company,Unknown
"Adkins, Jones and Dickson",Company,Optical media
Adkins-Lawrence,LogisticsCompany,"Distribution of a general line of fish and seafoods, such as fresh shellfish, crustaceans and molluscs, fresh and frozen fillets"
Aguilar and Sons,Company,Unknown
Aguilar Group,Company,Industrial equipment and machinery
Aguilar LLC,Company,"Medical equipment and supplies (catheters, collection devices, and wound dressings)"
"Aguilar, Carr and Logan",Company,"Vegetable capsules made of HPMC (Hydroxypropyl Methylcellulose), a non-animal raw material, which complies with its customers who have a cultural or vegetarian requirement; Two-piece hard gelatin capsule which is made with gelatin and pure water"
Aguilar-Johnson,Company,Unknown
Aguilar-Martin,Company,Unknown
Aguilar-Rogers,Company,Industrial inorganic chemicals and allied products
Aguilar-Williams,Company,Vannamei and Black tiger shrimp
Aguirre LLC,Company,Unknown
Aguirre-Anderson,Company,"Tasselled bookmarks, greeting cards, giftwrappers, doorknob hangers, paper bags, assorted activity/prayer packs, seed packets, planners and calendars, CD holder, square memo pads & jute strung writing pads, half pads, handmade paper making kit, notebooks, small notebooks, small colored notebooks, journal notebooks, spiral notebooks, posters, colored posters, stickers, theme books, stationery, invitations, gift cards and calling cards, scrapbooks, scrapbook materials & craft cuts"
Aguirre-Bennett,Company,Pigskin and beefskin gelatin
Aguirre-Golden,Company,"Stain removers, adhesives, detergents, household dyes, disinfectants, polish, air-fresheners, and skin care products"
Alexander Inc,FishingCompany,"Canning, processing and manufacturing of seafood and other aquatic products"
Alexander LLC,Company,Unknown
Alexander Ltd,Company,Unknown
"Alexander, Adams and Huff",Company,Unknown
"Alexander, Dunn and Brown",Company,Unknown
"Alexander, Duran and Benton",Company,Unknown
"Alexander, Harris and Rhodes",Company,Unknown
"Alexander, Neal and King",Company,Unknown
"Alexander, Richmond and Franklin",Company,Unknown
"Alexander, Vincent and Pacheco",Company,Unknown
Alexander-Kennedy,Company,Unknown
Alexander-Owens,Company,Unknown
Alexander-Stevens,Company,Unknown
Alexander-Wagner,Company,Unknown
"Ali, Lin and Morris",Company,Unknown
"Ali, Steele and Sanders",Company,"Automotive and domestic appliance textiles, office automation textiles, pollution control dust filtration textiles, The Laundry Division, commercial laundry textiles [source: freelance researcher]"
Ali-Collins,Company,Unknown
Allen and Sons,Company,Clothing apparel and accessories
Allen Group,Company,Inflatable boats
Allen Inc,Company,Unknown
Allen Ltd,Company,Unknown
Allen PLC,Company,Unknown
"Allen, Bauer and Gill",Company,Electronic and electrical wire and cable products
"Allen, Chang and Ellis",Company,"Specialises in a wide range of nondurable goods, including furniture and home furnishings; computers and peripheral equipment; electronic and optical equipment; industrial machinery and equipment; office supplies; packaging and containers; and paper and paper products; Offers other nondurable goods, such as personal products, rubber products, plastic products, textile raw materials, agricultural raw materials, clothing and footwear, and other semi finished goods"
"Allen, Edwards and Jones",Company,Unknown
"Allen, Hunt and Lyons",Company,Footwear
"Allen, Jacobson and Owen",Company,Unknown
"Allen, Lewis and Mullins",Company,Unknown
"Allen, Mcfarland and Avila",FinancialCompany,"Covers financing casino expansions, hotel expansions, and gaming equipment; offers capital for casino renovation, or facility maintenance and improvement; and provides debt and equity capital for financial restructuring; Offers market assessment, project development, design, construction coordination, equipment installation, and management services"
"Allen, Miller and Davenport",Company,Battery chargers and power supplies
"Allen, Mitchell and Shaw",Company,Unknown
"Allen, Nash and Meadows",Company,Unknown
"Allen, Nichols and Thompson",Company,Frozen fish and food products
"Allen, Olson and Ortiz",FishingCompany,Seafoods and other related products
"Allen, Russell and Maldonado",Company,Unknown
"Allen, Smith and Zamora",Company,Agricultural and forestry machinery
"Allen, Soto and Anderson",FishingCompany,Frozen seafood
"Allen, Stewart and Nichols",LogisticsCompany,"Marine fender, rubber fender, anchor chain, cargo lashing chain, rigging, web slings, welding processing, container lashing and securing fittings, anchor, and dock rubber fender"
"Allen, Thomas and Miller",Company,Unknown
"Allen, Thompson and Sullivan",Company,Unknown
"Allen, Villa and Allen",Company,Fish and sea food products
Allen-Beltran,Company,Unknown
Allen-Flores,Company,Unknown
Allen-Jackson,Company,Unknown
Allen-Jennings,Company,Unknown
Allen-Landry,Company,"Frozen food products (frozen specialty foods, such as frozen dinners, entrees, and side dishes; frozen pizza; frozen whipped topping; and frozen waffles, pancakes, and french toast)"
Allen-Lopez,Company,Unknown
Allen-Martin,LogisticsCompany,National and international freight forwarding
Allen-Montgomery,Company,Unknown
Allen-Peterson,Company,Unknown
Allen-Riggs,Company,Corporate support and management holding services
Allen-Taylor,Company,Unknown
Allen-Vaughn,Company,Unknown
Allen-Weiss,Company,Unknown
Allison-Delacruz,Company,Unknown
Allison-Holt,Company,Unknown
Alvarado and Sons,Company,Unknown
Alvarado Inc,Company,Sportswear and outerwear
Alvarado LLC,Company,Unknown
"Alvarado, Church and Lopez",Company,Unknown
Alvarado-Alvarez,FishingCompany,Seafood products
Alvarado-Hanson,Company,Packaging activities
Alvarado-Mckee,Company,Unknown
Alvarez Group,FishingCompany,Fresh and frozen seafood
Alvarez Inc,Company,"Research, development, and manufacture of fiber reinforced fabrics, thermoplastic panels, and warp-knitting machines"
Alvarez LLC,Company,Unknown
Alvarez Ltd,Company,Unknown
Alvarez PLC,FishingCompany,"Fresh and frozen seafoods (mackerel, chub mackerel fillet, squid, squid ring, hairtail, pomfret, yellow croaker, bamboo shrimp, I, Q, F shrimps, white shrimp, swimming crab, raw crab meat, and others)"
"Alvarez, Dominguez and Costa",Company,Unknown
"Alvarez, Edwards and Aguirre",Company,Unknown
"Alvarez, Fowler and Thompson",Company,Unknown
"Alvarez, Lee and Potts",Company,Unknown
"Alvarez, Wilkinson and Jackson",Company,Unknown
Alvarez-Barker,Company,Zinc and aluminum die cast hardware and components
Alvarez-Padilla,Company,Unknown
Alvarez-Rogers,Company,"Specialized in processing new or used or recycled plastics resins into intermediate or final products, using the following processes: Compression molding, extrusion molding, injection molding, blow molding, and casting"
Alvarez-Singleton,Company,Cosmetic and personal care components
Ancla del Este Sp Fish,FishingCompany,Operation of fishing vessels and the distribution of seafood
Andersen LLC,Company,Electrotechnical products
Anderson and Sons,Company,"TARAFLEX SPORTS FLOORING, COMMERCIAL FLOORING SOLUTIONS [source: freelance researcher]"
Anderson Group,Company,"Offers three main products: glycerine, sodium bicarbonate, and methanol"
Anderson Inc,Company,Unknown
Anderson LLC,Company,Unknown
Anderson Ltd,Company,Unknown
Anderson PLC,FishingCompany,Fishing activities
"Anderson, Baxter and Thompson",Company,Furniture and other related home furnishings
"Anderson, Bowen and Kirk",Company,"Lubricants for automotive and off-road vehicles as well as lubricants for maintenance, metalworking, and airconditioning; and stationary compressor lubricants for original equipment manufacturers (OEM)"
"Anderson, Bradley and Murphy",Company,Unknown
"Anderson, Brown and Green",FishingCompany,Seafood and other aquatic products
"Anderson, Gonzalez and Nguyen",Company,Unknown
"Anderson, Hall and Choi",Company,Unknown
"Anderson, Hart and Wood",Company,Unknown
"Anderson, Hernandez and Gonzales",Company,Unknown
"Anderson, Jennings and Miller",Company,Unknown
"Anderson, Lawson and Atkinson",Company,Unknown
"Anderson, Lee and Stephens",Company,"Tuna, salmon, herring, shellfish, and groundfish products; flounder fillets, cornmeal pollock strips, burger, and tuna steak; frozen halibut steaks and fancy king crabs; canned sockeye salmon and frozen sockeye; cod, pollock, rockfish, flounder and sole"
"Anderson, Lopez and Brown",Company,Unknown
"Anderson, Patterson and Thompson",Company,Unknown
"Anderson, Payne and Simpson",Company,Unknown
"Anderson, Peterson and Medina",Company,Unknown
"Anderson, Powell and Brown",Company,Bricks and pavers
"Anderson, Richardson and Kirk",Company,"Fish (anchovy, bluefish, butter fish, blowfish, catfish, dogfish, eel, flounder, grouper, haddock, and kingfish), roe (caviar, salmon roe, lumpfish roe, capelin roe, shad roe, and flying-fish roe), shellfish, crustacean (crab, crayfish, lobster, shrimp/prawns), mollusks (abalone, clam, cockle, conch, cuttlefish, mussel, octopus, oyster, periwinkle, snail, squid, scallop, and clam), and echinoderms (sea cucumber and sea urchin)"
"Anderson, Rodriguez and Love",Company,Unknown
"Anderson, Rush and Davidson",Company,Electronic equipment as well as energy and body systems for the automotive sector
"Anderson, Shepherd and Knight",Company,Internet Protocol based networking products and services
"Anderson, Smith and Weber",Company,Owns and operates membership shopping warehouse clubs
"Anderson, Strickland and Johnson",Company,Unknown
"Anderson, Taylor and Smith",Company,Unknown
"Anderson, Thompson and Gill",FishingCompany,Marine fishing activities
"Anderson, Valdez and Armstrong",Company,Unknown
"Anderson, Washington and Gutierrez",Company,Unknown
Anderson-Brown,Company,"Products that went on to become industry standard for original equipment manufacturers and end-users of the towing, vehicle recovery, fire rescue, auto transport, industrial, agricultural industries"
Anderson-Burke,Company,Unknown
Anderson-Cohen,Company,Unknown
Anderson-Cooper,Company,Unknown
Anderson-Cox,Company,"Aluminum, foundry, glass, zinc, steel, insulation materials and industrial furnaces"
Anderson-Douglas,Company,Cutlery products
Anderson-Fields,Company,Unknown
Anderson-Grant,LogisticsCompany,Safety and cargo restraint products
Anderson-Green,Company,"Processing of aquatic, meat and agriculture products; Aquatic, meat and agriculture products"
Anderson-Jackson,Company,"Food-grade, pharmaceutical and wine-making gelatine with acid extraction TYPE A from 80 to 320 bloom in granulometries of between 4 and 100 MESH; food-grade, pharmaceutical and wine-making gelatine with alka line extraction TYPE B from 80 to 280 bloom in granulometries of between 4 and 100 MESH; gelatine in lumps TYPE A - TYPE B; instant cold-soluble gelatine TYPE A - TYPE B; gelatine in platinum - gold - silver leaf; hydrolysed cold-soluble TYPE A and TYPE B gelatine; flavoured gelatine; liquid TYPE A and TYPE B gelatine in various concentrations; and technical gelatines"
Anderson-Miller,Company,Unknown
Anderson-Murphy,Company,Unknown
Anderson-Owens,Company,"General line of grocery products such as baked goods, beverages, candy, canned foods, dry goods, tea, coffee, spices, sugar, flour, fresh fruit, dairy, eggs and vegetables, meat, fish, poultry, seafood, and frozen and processed foods"
Anderson-Reed,Company,Unknown
Anderson-Roberts,FishingCompany,Seafood products
Anderson-Roman,Company,"Dies, dieholders, templates, shapes for machines. Its machines and furnaces include IÂ° Series, IIÂ° Series, IIIÂ° Series, IVÂ° Series, Gravity, and Ladles; Ancillary Equipment such as De-sprueing machines, De-burring machines, De-flashing machines, Drilling machines, and Automation; Provides dies including Core Boxes, Low Pressure Dies, Gravity casting"
Anderson-Rosario,Company,Fish and sea food products
Anderson-Ruiz,Company,Unknown
Anderson-Sanders,Company,Unknown
Anderson-Sawyer,Company,Unknown
Anderson-Scott,Company,D
Anderson-Simpson,Company,Unknown
Anderson-Singh,Company,Unknown
Anderson-Vazquez,Company,Titanium and aluminum investment casting products
Andhra Pradesh   Sextant Oyj Forwading,FishingCompany,Marine fishing
Andrade and Sons,Company,"Specialises in metal rebuilding, emergent repair, high temperature sealing, and repair putties; wear resistant, low friction, and erosion resistant coatings; adhesives for precision fittings; structure and rubber bonding, anaerobic structure, cyanoacrylate, anaerobic retaining, UV structure, polyurethane, and modified silane adhesives; anaerobic thread lockers; anaerobic and silicone flanges, anaerobic threads, polyurethane, and modified silane sealants; and accessories, and dispensing robots and tools"
Andrade Ltd,Company,Unknown
"Andrade, Edwards and Dominguez",Company,Unknown
Andrade-Bernard,Company,Unknown
Andrade-Watson,LogisticsCompany,"Logistics services, including contract warehousing, public warehousing, and transportation services"
Andrews Group,Company,Unknown
Andrews Inc,Company,Unknown
"Andrews, Becker and Hale",Company,Unknown
"Andrews, Matthews and Ramirez",Company,Unknown
Andrews-Davis,FishingCompany,Fish and other seafood
Andrews-Hoffman,Company,Unknown
Andrews-Keller,Company,Unknown
Andrews-Walters,Company,"Fruit and vegetable juice and juice drinks (fruit juices, fruit nectars, fruit juice concentrates, vegetable juices, thickened juices, strawberry puree, apricot puree, peach puree, apple puree, pear puree, kiwi puree, and hawthorn puree)"
Anthony Ltd,Company,Activities of transport agencies
"Anthony, Howe and Gonzalez",Company,Unknown
"Anthony, Lowery and Jones",Company,Clothing and footwear
Archer and Sons,Company,Unknown
Archer PLC,Company,Clothing and footwear
"Archer, Baker and Cruz",Company,"Fine Middle Eastern, Iranian, Greek, Armenian, Russian, and Mediterranian delicatessen, food products, cultural gifts, souvenirs, specialty kitchen and houseware products"
Archer-Johnson,Company,Unknown
Arellano Group,FishingCompany,"Fishmeals and preserved aquatic products; Sardines, salted fish, smoked and marinated fish, fish fillets, dried seafoods, and sweet and sour marine products"
"Arellano, Hill and Leon",Company,Unknown
Arias PLC,Company,Unknown
"Arias, Barnes and Armstrong",Company,Bread and other bakery products
"Arias, Henry and Hoffman",Company,"Retails a general line of new men, women, boys and infant clothing, including maternity wear"
"Arias, Thomas and Martin",Company,Ductile iron products
Arias-Thomas,Company,Unknown
Armstrong and Sons,Company,Unknown
Armstrong PLC,Company,"Information Equipment, Optics, Medical and Graphic, Measuring Machine, and Photo Imaging"
"Armstrong, Bennett and Deleon",Company,"Pool and spa parts distributor; Pool accessories, toys and games, handrails, spa accessories, spa cover lift assembly, air blowers & injectors, air blower accessories, heater assemblies, heater manifolds, heater parts, pump baskets, skimmer baskets, circuit boards, sensors circuit board, controls, feeders, ozonators, uv generators, water treatment, water testing, filters, cartridge, and filters"
"Armstrong, Contreras and Lee",FishingCompany,"Marine, aquaculture, and other processed seafood products"
"Armstrong, Daniel and Ray",Company,Olive oil
"Armstrong, Taylor and Gray",Company,"Angle grinders, electric drills, circular saws, orbital saners, paint mixers, dust blowers, and other products"
Armstrong-Hernandez,FishingCompany,"Fish, seafood, and related products"
Armstrong-Richards,Company,Specializing in production of chromium metal (lumps and powder) and chromium briquettes degassed
Arnold and Sons,Company,Unknown
Arnold LLC,Company,Unknown
Arnold Ltd,Company,Unknown
"Arnold, Montgomery and Doyle",Company,"Albacore, Alfonsino, Barramundi, Bass, Black Cod, Blue Cod, Bluenose, Caviar, Flounder, Groper, Gurnard, John Dory, Kingfish, Ling  Kingclip, Lobster, Mahi, Ocean Trout, Opah  Moonfish, Orange Roughy, Perch, Salmon, Scampi, Scorpion, Seabass, Shellfish, Snapper, Swordfish, Tarakihi, Trevally, Tuna, Turbot, Wahoo  Ono [source: freelance researcher]"
"Arnold, Paul and Adams",Company,Unknown
"Arnold, Ramirez and Franklin",Company,"A vegetable two-piece hard-shell capsule with the locking system made from hypermellose; A two-piece hard-shell capsules with the locking system made from gelatin derived from fish; low powder retention CAPS, which are used to deliver medicinal powders to the human lung using an inhaler device; and SLS-Free capsules, which are produced without using sodium lauryl sulfate for dietary applications"
"Arnold, Thompson and Williams",Company,"Beauty supply products, general merchandise, and wet products"
"Arnold, Williams and Jarvis",Company,Unknown
Arnold-Boyer,Company,Unknown
Arnold-Davis,FishingCompany,Fish and seafood products
Arnold-Jackson,Company,Ferrous and nonferrous metal products
Arnold-Martinez,Company,Unknown
Arnold-Ortiz,Company,Unknown
Arroyo and Sons,Company,Unknown
Arroyo-Stephenson,Company,Unknown
Ashley and Sons,Company,Unknown
Ashley-Johnston,Company,Consumer goods
Atkins Ltd,Company,Noodle products
Atkins-Black,Company,Unknown
Atkins-Crosby,Company,Unknown
Atkins-Meyers,Company,Unknown
Atkinson Ltd,Company,Holding company
Atkinson-Zavala,Company,Hydrobiological resources
Atkins-Smith,Company,"Paints, varnishes, lacquers, enamels and allied products"
"Austin, Davis and Walker",Company,Electrical machines and drives
"Austin, Reynolds and Jenkins",Company,"Canned fruit season, canned vegetables and canned seafood"
Austin-Arellano,Company,Unknown
Austin-Kelly,Company,Unknown
Austin-Stephens,Company,"Equipment that crushes, screens, grinds, processes, enriches, and recycles mineral products"
Austin-Sutton,LogisticsCompany,"Transportation of freight on all inland waterways, including intracoastal waterways"
Avery Inc,Company,Unknown
Avery-Adams,Company,Unknown
Avery-Cohen,FishingCompany,Scallops and other seafood
Avery-Shannon,Company,Unknown
Avila Group,Company,Unknown
"Avila, Williams and Hunt",Company,Unknown
Avila-Clark,Company,Unknown
Avila-Santiago,Company,Unknown
Avila-Washington,Company,Unknown
Ayala and Sons,Company,Unknown
"Ayala, Baker and Bowman",Company,Unknown
"Ayala, Brown and Hughes",Company,Unknown
"Ayala, Johnson and Cook",Company,Unknown
"Ayala, Mayo and Houston",Company,"Synthetic leather, textile products, automobile interior decoration, and chemical products"
"Ayala, Scott and Mcdonald",Company,"Wild caviar, and other species of sturgeon from other sources, and other fish roe specialties such as salmon roe, trout, and other delicacies including king crab, foie gras, smoked salmon and sturgeon, saffron, truffles, others"
Ayala-Cobb,Company,"Fresh produce, cheese, milk & eggs, fresh and frozen beef & veal, fresh and frozen pork & lamb, fresh and frozen poultry, fresh and frozen poultry, fresh and frozen seafood, fruit salad, prepared salads, hors d' oeuvres, coffee, tea, hot chocolate, frozen juice, can/bottle juice, water soda, bread, pizza, pizza dough, cakes, cookie, pastries, pies, dessert mixes, dry pasta, frozen pasta, canned soup, canned potatoes, French fries, hashbrowns, pot pancake, dry potato mixes, baking supplies, bar supplies, condiments, cereal, dressings, canned fish, sauces, glazes, oils, shortening, pickles, olives, rice, beans, snack food, spices, alum pans, foils, bags, cleaning supply, detergents, cups, lids, disposables, equipment, plates, trays, bowls, towels, napkins, tissue, and waxes and film"
Ayala-Grant,Company,Dog and cat food
"Ayers, Jacobson and Wright",FishingCompany,"Tuna, sword fish, bass, trout, and salmon, as well as offers shellfish, mollusks, crustaceans, sea vegetables, shrimp, lobster, squid, oysters, crabs, and clams, and other related seafood products"
Bahía Azul AB Export,Company,"Offers a range of products including frozen food series, such as crab, squid, star eel and octopus"
Bailey Inc,FishingCompany,"Specialises in wholesaling a wide range of fish and seafood products, including Seasoned Grill Wild Alaskan Salmon and Wild Caught Seasoned Grill Salmon; Wild Salmon Steakhouse â€“ Family Pack, Wild Salmon Seasoned Grill â€“ Family Pack, Mahi Mahi Pineapple Mango, Wild Salmon Lemon Dill, Tilapia Cajun, Butter and Herb Cod, Steakhouse Tilapia, Sweet Bourbon Wild Salmon, Sweet Bourbon Atlantic Salmon, Steakhouse Atlantic Salmon, Sweet Glazed Wild Salmon, Steakhouse Wild Salmon, Seasoned Grill Wild Salmon, Seasoned Grill Tilapia, Wood Roasted Wild Salmon and Seasoned Grill Atlantic Salmon; Wild Smoked Salmon Peppered, Wild Smoked Salmon Tomato Basil, Wild Keta Smoked Salmon Chunks and Smoked Whitefish; Moreyâ€™s Pickled Herring and Moreyâ€™s Nova Lox"
Bailey Ltd,Company,Pharmaceutical packaging and medical device components
Bailey PLC,Company,"Mechanical and electrical insulation, the corrosion protection and the sealing of joints of all kinds and their identification; Heat-shrinkable tubing and related technologies as well as sleeves, adhesives and sealants as well as accessories and mechanical equipment for the further processing of the aforementioned products; Hold and manage all types of participations and to carry out all business activities that are directly or indirectly useful to the purpose of the business"
"Bailey, Cantu and Johnson",Company,Unknown
"Bailey, Johnson and Diaz",FishingCompany,Fresh frozen packaged fish and seafood
"Bailey, Leonard and Harrington",Company,Unknown
"Bailey, Matthews and Richardson",Company,Unknown
"Bailey, Mitchell and Mckinney",Company,Unknown
"Bailey, Williamson and Powell",LogisticsCompany,"Forwarding, global shipping, and documentation services"
Bailey-Alvarado,Company,Operation of a food service company
Bailey-Briggs,FishingCompany,Fishing and fish processing
Bailey-Ford,Company,Unknown
Bailey-Martin,Company,Unknown
Bailey-Pope,Company,Unknown
Bailey-Ross,Company,Unknown
"Baird, Simmons and Johnson",Company,Gelatines and other related chemical products
Baker and Sons,Company,Unknown
Baker Group,Company,Fruits and vegetables
Baker Inc,Company,Unknown
Baker LLC,LogisticsCompany,"Offers both truckload and less-than-truckload (LTL) transport; Hauls dry and refrigerated freight; Airport-to-airport and cross-border truck transportation, distribution, logistics, and warehousing"
Baker Ltd,Company,Unknown
"Baker, Casey and Simmons",Company,Unknown
"Baker, Davis and Hudson",FishingCompany,Process and preservation of fish and seafood products
"Baker, Donaldson and Sexton",Company,"Automatic scrap charging machine, holding furnaces, vertical casting machines, hot logs shear, press billet loader, extrusion press, cooling hoods, cooling tanks, aging furnaces, heating dies furnace, automatic dies hoist, and acouplemunt dies press"
"Baker, Hughes and Horn",Company,Unknown
"Baker, Mathis and Miller",Company,Unknown
"Baker, Smith and Gomez",FishingCompany,Frozen and salted fish and other seafood products
"Baker, Sullivan and Carter",Company,Unknown
Baker-Curry,Company,Unknown
Baker-Fox,Company,"Glue tape, correction tape, highlight tape, deco tape, white-board brush and stationery suite"
Baker-Johnston,Company,Unknown
Baker-Knight,Company,Unknown
Baker-Lin,Company,Unknown
Baker-Lucas,Company,Unknown
Baker-Mahoney,Company,Unknown
Baker-Navarro,Company,Unknown
Baker-Ross,Company,Unknown
Baker-Smith,FishingCompany,Seafood products
Baker-Williams,Company,Unknown
Baldwin PLC,Company,Unknown
"Baldwin, Kerr and Jones",Company,Unknown
"Baldwin, Kline and May",Company,Unknown
Baldwin-Rhodes,Company,"Specialty industrial textiles that are used in protective, engineered products, and composites"
Balkan Anchovy Ltd. Corporation,FishingCompany,Marine fishing activities
Ball Ltd,Company,Unknown
"Ball, Mitchell and Allen",Company,"Pressure & electrical controls, and valve & line components"
Ballard and Sons,Company,Unknown
Ballard Group,Company,Unknown
"Ballard, Willis and Fuller",Company,Unknown
Ballard-Bailey,FishingCompany,"Seafood products (northern shimp, northern scallops, snow crab, H + G cod, H + G Haddock, and pollock, wetsalted and frozen; shell-on shrimp; other related products)"
Ball-Carter,Company,Unknown
Ball-Shaw,Company,"Eyes, lips, face, and multi-use makeup products; cleansers, toners, serums, scrubs, exfoliants, masks, moisturizers, OTC products, sunscreens, acne treatments, under-eye treatments, makeup removers, anti-aging treatments, environmental treatments, salves and ointments, lip protection, men's skin care, and whitening/lightening treatments; and bath oils, baby care, hair treatment, hand soaps, foot creams and soaks, body powders, massage oils, foaming cleansers, and mud body masks"
Baltic Herring Ltd. Liability Co,Company,Unknown
Banks and Sons,Company,"Industrial adhesives, pressure sensitive labels, tapes and glues for specific packaging, paper converting, labeling, book-binding and assembly"
Banks Group,Company,Unknown
Banks Inc,Company,"Plastic electronic enclosures; Aftermarket automotive products including customizing and manufacturing key fobs, license plate frames, and trailer hitch covers"
Banks LLC,Company,Closures and machinery for the bottling and packaging industries
Banks PLC,Company,Canned and cured fish and seafoods
"Banks, Gray and Gonzales",Company,Unknown
"Banks, Sullivan and Lambert",Company,"Compact type remelt plant, contaminated scrap remelt, dross and scrap remelt, magnetic pumps and stirrers, charging machines, degassing units, horizontal casting, vertical casting, ingot casting belt, continuous homogenizing, batch homogenizing, and other related products"
Barajas and Sons,Company,Unknown
Barber Group,Company,"Arts and crafts products (Glue sticks, super glue, all-purpose glue, white craft glue, glue pens, correction tapes and glue tapes; Glitter glue, puffy paints, color paints, aqua paints, pencil crayons, colored paper, and glitter powder)"
Barber Ltd,Company,"Joint Venture, Industrial Supply Products, Tires and Wheels, accelerated business performance, Consultancy and Testing service tosupport [source: freelance researcher]"
Barber PLC,Company,Pharmaceutical and dermocosmetic products
"Barber, Brooks and Cole",Company,Vegetable seeds
"Barber, Oneal and Owens",Company,Unknown
"Barber, Rice and Colon",Company,"Offers dressed crabs, white meat, fine minced crabmeat and blocks, crab cluster meat and blocks, handpicked dressed carbs, brown crabmeat, crab salads, ready to eat crab claws, and other products"
Barber-Harrison,Company,Unknown
Barber-Koch,Company,Specialty foods
Barker and Sons,Company,Specializes in the production of rubber products from natural and synthetic rubber
Barker Group,Company,General merchandise
